Movie,The Last Pogo Jumps Again,The Last Pogo Jumps Again,2013,200,"Documentary,music"
Movie,Tooth Fairy,Tooth Fairy,2010,101,"Comedy,family,fantasy"
Movie,Belle du Seigneur,Belle du Seigneur,2012,104,"Drama,romance"
Movie,Cross the Line,Cross the Line,2010,87,Action
Movie,The Danish Girl,The Danish Girl,2015,119,"Biography,drama,history"
Movie,Eyes of the Mothman,Eyes of the Mothman,2011,150,Documentary
Movie,Jack and Jill,Jack and Jill,2011,91,Comedy
Movie,Take Me Home Tonight,Take Me Home Tonight,2011,97,"Comedy,drama,romance"
Movie,Plumíferos - Aventuras voladoras,Plumíferos - Aventuras voladoras,2010,80,"Adventure,animation,family"
Movie,Lavoe,The King Hector Lavoe,2011,90,"Drama,music"
Movie,The Do-Deca-Pentathlon,The Do-Deca-Pentathlon,2012,76,Comedy
Movie,Meridian Lines,Meridian Lines,2013,,Drama
Movie,American Flyer,American Flyer,2010,100,Adventure
Movie,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,2010,118,"Adventure,family,fantasy"
Movie,Art Officially Favored,Art Officially Favored,2019,90,"Biography,documentary,fantasy"
Movie,Ashes,Ashes,2010,,Drama
Movie,She''s Out of My League,She''s Out of My League,2010,104,"Comedy,romance"
Movie,Card Subject to Change,Card Subject to Change,2010,87,Documentary
Movie,The Book Thief,The Book Thief,2013,131,"Drama,war"
Movie,Conan the Barbarian,Conan the Barbarian,2011,113,"Action,adventure,fantasy"
Movie,Shanghai Hotel,Shanghai Hotel,2011,110,Drama
Movie,Interstellar,Interstellar,2014,169,"Adventure,drama,sci-fi"
Movie,World War Z,World War Z,2013,116,"Action,adventure,horror"
Movie,Flipped,Flipped,2010,90,"Comedy,drama,romance"
Movie,Valentine''s Day,Valentine''s Day,2010,125,"Comedy,romance"
Movie,The Power of Few,The Power of Few,2013,96,"Action,crime,drama"
Movie,Dreamkiller,Dreamkiller,2010,110,Thriller
Movie,Soupernatural,Soupernatural,2010,,Drama
Movie,Manhattan Minutiae,Manhattan Minutiae,2016,99,"Comedy,music,romance"
Movie,Priest,Priest,2011,87,"Action,fantasy,horror"
Movie,The Long Falling,Où va la nuit,2011,105,Drama
Movie,Maximum Ride,Maximum Ride,2016,88,"Action,adventure,comedy"
Movie,Caravaggio and My Mother the Pope,Caravaggio and My Mother the Pope,2018,90,"Comedy,drama"
Movie,Return to Yucca Flats: Desert Man-Beast,Return to Yucca Flats: Desert Man-Beast,2010,79,"Comedy,horror"
Movie,Magic,Magic,2010,,"Adventure,family"
Movie,Wild in the Streets,Wild in the Streets,2012,82,Documentary
Movie,Dracula Untold,Dracula Untold,2014,92,"Action,drama,fantasy"
Movie,Gallowwalkers,Gallowwalkers,2012,90,"Action,horror,thriller"
Video,Santeria: The Soul Possessed,Santeria: The Soul Possessed,2012,82,Horror
